service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA","1","1","1","1","1","1","1","20230127","20231209"
"TA+00400","0","0","0","0","0","1","0","20230127","20231209"
"TA+00c00","1","1","1","1","1","0","0","20230127","20231209"
"TA+01o00","0","0","0","0","0","1","0","20230127","20231209"
"TA+02p00","0","0","0","0","1","0","0","20230127","20231209"
"TA+02t00","1","1","1","1","0","1","0","20230127","20231209"
"TA+03100","1","1","1","1","1","1","1","20221211","20231209"
"TA+03q00","0","0","0","0","1","0","1","20230127","20231209"
"TA+03s00","1","1","1","1","0","1","1","20230127","20231209"
"TA+04800","1","0","0","0","0","0","0","20230127","20231209"
"TA+04o00","1","1","1","1","1","1","1","20230127","20231209"
"TA+04q00","0","0","0","0","0","1","1","20230127","20231209"
"TA+05a00","1","1","1","1","0","0","0","20230127","20231209"
"TA+05q00","0","0","0","0","0","1","1","20230127","20231209"
"TA+06500","1","1","1","1","1","1","1","20230127","20231209"
"TA+06f00","1","1","1","1","1","0","0","20230127","20231209"
"TA+06q00","0","0","0","0","0","1","1","20230127","20231209"
"TA+07s00","1","1","1","1","1","0","1","20230127","20231209"
"TA+08i00","1","1","1","1","1","1","1","20230127","20231209"
"TA+09b00","1","1","1","1","0","0","0","20230127","20231209"
"TA+09o00","1","1","1","1","1","0","1","20230127","20231209"
"TA+09s00","0","0","0","0","0","1","0","20230127","20231209"
"TA+0a000","1","1","1","1","1","0","0","20230127","20231209"
"TA+0aj00","0","0","0","0","0","0","1","20230127","20231209"
"TA+0bj00","1","1","1","1","1","1","1","20230127","20231209"
"TA+0bl00","1","1","0","0","0","1","1","20230127","20231209"
"TA+0bs00","1","1","1","1","1","1","1","20230127","20231209"
"TA+0bu00","0","1","0","1","0","1","0","20230127","20231209"
"TA+0cb00","1","1","1","1","0","0","0","20230127","20231209"
"TA+0cj00","1","0","0","0","1","1","1","20230127","20231209"
"TA+0cu00","1","1","1","1","1","0","0","20221211","20231209"
"TA+0d400","0","0","0","0","0","1","0","20230127","20231209"
"TA+0d600","1","1","1","1","1","1","1","20230127","20231209"
"TA+0db00","0","0","0","0","1","0","0","20230127","20231209"
"TA+0dj00","0","0","0","0","0","0","1","20230127","20231209"
"TA+0dl00","1","1","1","1","1","1","1","20230127","20231209"
"TA+0dr00","1","1","1","1","1","0","0","20230127","20231209"
"TA+0er00","1","1","1","1","1","0","0","20230127","20231209"
"TA+0es00","1","1","0","0","0","1","0","20230127","20231209"
"TA+0f300","0","0","0","0","0","1","0","20230127","20231209"
"TA+0ha00","0","0","0","0","0","1","1","20221211","20231209"
"TA+0hr00","1","1","1","1","1","0","0","20230127","20231209"
"TA+0ia00","1","1","1","1","1","1","0","20221211","20231209"
"TA+0ij00","1","1","1","1","1","1","0","20230127","20231209"
"TA+0ir00","1","1","1","1","1","0","0","20230127","20231209"
"TA+0jj00","1","1","1","1","1","0","0","20230127","20231209"
"TA+0jk00","0","1","0","1","0","0","1","20230127","20231209"
"TA+0jm00","1","0","0","0","0","0","1","20230127","20231209"
"TA+0jq00","0","0","0","0","0","1","0","20230127","20231209"
"TA+0ki00","1","0","0","1","0","1","0","20230127","20231209"
"TA+0kq00","0","0","0","0","0","1","1","20230127","20231209"
"TA+0ks00","0","0","1","1","1","1","1","20230127","20231209"
"TA+0kt00","0","0","1","0","1","0","0","20230127","20231209"
"TA+0lj00","1","1","1","1","1","1","1","20230127","20231209"
"TA+0lt00","1","1","1","1","1","0","1","20230127","20231209"
