route_id,agency_id,route_short_name,route_long_name,route_type
"10-A10-j23-1","01","A10","","2"
"10-A11-j23-1","01","A11","","2"
"10-A12-j23-1","01","A12","","2"
"10-A13-j23-1","01","A13","","2"
"10-A14-j23-1","01","A14","","2"
"10-A15-j23-1","01","A15","","2"
"10-A18-j23-1","01","A18","","2"
"10-A19-j23-1","01","A19","","2"
"10-A1-j23-1","01","A1","","2"
"10-A20-j23-1","01","A20","","2"
"10-A23-j23-1","01","A23","","2"
"10-A3-j23-1","01","A3","","2"
"10-A4-j23-1","01","A4","","2"
"10-A5-j23-1","01","A5","","2"
"10-A62-j23-1","01","A62","","2"
"10-A7-j23-1","01","A7","","2"
"10-A8-j23-1","01","A8","","2"
"10-A9-j23-1","01","A9","","2"
"10-D17-j23-1","01","D17","","2"
"10-D9-j23-1","01","D9","","2"
"10-DE2-j23-1","01","DE2","","2"
"10-HU1-j23-1","01","HU1","","2"
"10-HU3-j23-1","01","HU3","","2"
"10-I3-j23-1","01","I3","","2"
"10-SI1-j23-1","01","SI1","","2"
"10-SK-j23-1","01","SK","","2"
"11-220-A-j23-1","01","220-A","","2"
"12-1-Y-j23-1","01","1-Y","","2"
"12-2-Y-j23-1","01","2-Y","","2"
"12-3-Y-j23-1","01","3-Y","","2"
"12-4-Y-j23-1","01","4-Y","","2"
"12-A12-j23-1","01","A12","","2"
"12-A15-A-j23-1","01","A15-A","","2"
"12-A15-j23-1","01","A15","","2"
"12-A16-j23-1","01","A16","","2"
"12-A1-j23-1","01","A1","","2"
"12-A3-j23-1","01","A3","","2"
"12-A5-j23-1","01","A5","","2"
"12-A85-j23-1","01","A85","","2"
"12-A86-j23-1","01","A86","","2"
"12-A88-j23-1","01","A88","","2"
"12-A90-j23-1","01","A90","","2"
"12-A91-j23-1","01","A91","","2"
"12-A92-j23-1","01","A92","","2"
"12-A93-j23-1","01","A93","","2"
"12-A94-j23-1","01","A94","","2"
"12-A96-j23-1","01","A96","","2"
"12-A98-j23-1","01","A98","","2"
"12-CH1-j23-1","01","CH1","","2"
